field_date,field_year,role,coordinate_status,coordinate_source_for_matchup,coordinate_qc,coordinate_note,gps_lat_measured,gps_lon_measured,nominal_fallback_allowed,used_to_tune_polygon,window_size,minimum_valid_pixels,eligibility_rule_id,method,sensitivity_status,product_id,acolite_scene_id,linked_l1c_product_id,source_relative_path,target_id,target_role,target_latitude,target_longitude,coordinate_provenance,acquisition_date,year,sensing_datetime_utc,platform,tile_id,relative_orbit,processing_baseline,radiometry_processing_baseline,radiometry_processing_baseline_source,generation_time_utc,grid_resolution_m,window_pixel_count,support_detail,support_pixel_count,polygon_total_pixel_count,polygon_bbox_rows,polygon_bbox_cols,polygon_enclosing_window_size,polygon_coordinate_path,target_row,target_col,target_inside_raster,minimum_valid_fraction,required_qa_complete,required_qa_incomplete_families,native_qa_incomplete,native_qa_incomplete_families,extraction_successful,observation_available,failure_reason,MCI_valid_pixel_count,MCI_valid_pixel_fraction,MCI_median,MCI_mean,MCI_SD,MCI_IQR,MCI_min,MCI_max,NDCI_valid_pixel_count,NDCI_valid_pixel_fraction,NDCI_median,NDCI_mean,NDCI_SD,NDCI_IQR,NDCI_min,NDCI_max,common_B456_valid_count,B4_reflectance_median,B5_reflectance_median,B6_reflectance_median,qa_whole_window_count_pixel_basis,qa_in_support_count_pixel_basis,qa_support_is_whole_read_window,qa_layer_counts_may_overlap,qa_common_hard_invalid_count_in_support,qa_common_hard_invalid_fraction_in_support,qa_scl_not_water_count_in_support,qa_opaque_cloud_count_in_support,qa_cirrus_count_in_support,qa_snow_ice_count_in_support,qa_B04_hard_invalid_count_in_support,qa_B05_hard_invalid_count_in_support,qa_B06_hard_invalid_count_in_support,qa_acolite_hard_invalid_count_in_support,qa_acolite_hard_invalid_fraction_in_support,mci_observation_eligible,mci_observation_status,ndci_observation_eligible,ndci_observation_status
2019-05-21,2019,secondary_spatial_sensitivity_only,no_measured_gps_recorded,paper_nominal_station,no measured GPS for this date,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,,,False,False,3,6,vombsjon_gps3x3_min6_v1.1,,not_extracted_no_accepted_measured_gps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-29,2019,secondary_spatial_sensitivity_only,no_measured_gps_recorded,paper_nominal_station,no measured GPS for this date,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,,,False,False,3,6,vombsjon_gps3x3_min6_v1.1,,not_extracted_no_accepted_measured_gps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-04,2019,secondary_spatial_sensitivity_only,no_measured_gps_recorded,paper_nominal_station,no measured GPS for this date,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,,,False,False,3,6,vombsjon_gps3x3_min6_v1.1,,not_extracted_no_accepted_measured_gps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-11,2019,secondary_spatial_sensitivity_only,no_measured_gps_recorded,paper_nominal_station,no measured GPS for this date,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,,,False,False,3,6,vombsjon_gps3x3_min6_v1.1,,not_extracted_no_accepted_measured_gps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-18,2019,secondary_spatial_sensitivity_only,no_measured_gps_recorded,paper_nominal_station,no measured GPS for this date,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,,,False,False,3,6,vombsjon_gps3x3_min6_v1.1,,not_extracted_no_accepted_measured_gps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-25,2019,secondary_spatial_sensitivity_only,no_measured_gps_recorded,paper_nominal_station,no measured GPS for this date,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,,,False,False,3,6,vombsjon_gps3x3_min6_v1.1,,not_extracted_no_accepted_measured_gps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09,2019,secondary_spatial_sensitivity_only,no_measured_gps_recorded,paper_nominal_station,no measured GPS for this date,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,,,False,False,3,6,vombsjon_gps3x3_min6_v1.1,,not_extracted_no_accepted_measured_gps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16,2019,secondary_spatial_sensitivity_only,no_measured_gps_recorded,paper_nominal_station,no measured GPS for this date,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,,,False,False,3,6,vombsjon_gps3x3_min6_v1.1,,not_extracted_no_accepted_measured_gps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-23,2019,secondary_spatial_sensitivity_only,no_measured_gps_recorded,paper_nominal_station,no measured GPS for this date,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,,,False,False,3,6,vombsjon_gps3x3_min6_v1.1,,not_extracted_no_accepted_measured_gps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-30,2019,secondary_spatial_sensitivity_only,no_measured_gps_recorded,paper_nominal_station,no measured GPS for this date,no measured GPS accepted for this date; the polygon field comparison still applies because the fixed polygon does not depend on the per-date coordinate,,,False,False,3,6,vombsjon_gps3x3_min6_v1.1,,not_extracted_no_accepted_measured_gps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
