year,method,reconstruction_status,reconstruction_failure_reason,contract_version,mask_id,scenario_family,selected_smoothing,diagnostic_n_sparse_inputs,diagnostic_minimum_reconstructed_value,diagnostic_n_negative_reconstructed_days,diagnostic_fraction_negative_reconstructed_days,diagnostic_negative_values_clipped,diagnostic_boundary_extrapolation,diagnostic_sparse_input_checksum,diagnostic_identical_sparse_input_enforced,n_pointwise_evaluation_dates,n_predictions_available,n_predictions_missing_or_nonfinite,q05_reference,q95_reference,q95_minus_q05,scale_available,scale_unavailable_reason,pointwise_metric_status,pointwise_metric_reason,bias,mae,rmse,nrmse,nrmse_status,nrmse_reason,n_common_support_dates,n_common_support_predictions,n_missing_common_support_predictions,minimum_reconstructed_value,n_negative_reconstructed_days,fraction_negative_reconstructed_days,negative_values_clipped,reference_peak_status,reference_peak_reason,reference_peak_time,reference_peak_value,reference_peak_plateau_start,reference_peak_plateau_end,reference_peak_plateau_days,reference_peak_at_boundary,reference_peak_distance_to_nearest_boundary_days,reconstruction_peak_status,reconstruction_peak_reason,reconstruction_peak_time,reconstruction_peak_value,reconstruction_peak_plateau_start,reconstruction_peak_plateau_end,reconstruction_peak_plateau_days,reconstruction_peak_at_boundary,reconstruction_peak_distance_to_nearest_boundary_days,seasonal_metric_status,seasonal_metric_reason,peak_timing_metric_status,peak_timing_metric_reason,signed_peak_date_error_days,absolute_peak_date_error_days,peak_timing_success_5d,peak_timing_success_10d,peak_timing_success_15d,signed_peak_magnitude_error,absolute_peak_magnitude_error,normalized_absolute_peak_magnitude_error,reference_integral,reconstruction_integral,signed_integral_error,absolute_integral_error,relative_integral_error,relative_integral_status,relative_integral_reason,pearson_correlation,correlation_status,correlation_reason,diagnostic_n_output_dates,diagnostic_n_finite_output_dates,diagnostic_persistent_batch_transport
2019,linear_interpolation,ok,,Reconstruction_Analysis_Contract_v1.0.1,consecutive_2019_10d_20190418,consecutive_internal_gap,,32,0.95194400000000001,0,0,False,False,9e8f2b453cd224c73208fdcf4bf06086509f75301bfe2e7f38bd5107e0d78a5e,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.851098004975124,3.1957427228394053,7.4538733638283823,0.26097581839150974,ok,,233,233,0,0.95194400000000001,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-25T00:00:00,29.236799999999999,2019-08-25,2019-08-25,1,False,102,ok,,ok,,-1,1,True,True,True,-31.658100000000001,31.658100000000001,1.1084168127021696,1870.269949,1498.1992499999999,-372.0706990000001,372.0706990000001,-0.19893956976581892,ok,,0.81459759415564814,ok,,,,
2019,timesat_double_logistic,ok,,Reconstruction_Analysis_Contract_v1.0.1,consecutive_2019_10d_20190418,consecutive_internal_gap,,32,0.95194524526596069,0,0,False,,9e8f2b453cd224c73208fdcf4bf06086509f75301bfe2e7f38bd5107e0d78a5e,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-2.6362221216097401,4.1944684043495215,7.7199918934294383,0.27029318906067151,ok,,233,233,0,0.95222115516662598,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-21T12:00:00,21.558696746826172,2019-08-21,2019-08-22,2,False,105.5,ok,,ok,,-4.5,4.5,True,True,True,-39.336203253173828,39.336203253173828,1.3772433921709657,1870.269949,1325.8372067213058,-544.43274227869415,544.43274227869415,-0.29109848156935453,ok,,0.80039558592244153,ok,,365,365,True
2019,timesat_smoothing_spline,ok,,Reconstruction_Analysis_Contract_v1.0.1,consecutive_2019_10d_20190418,consecutive_internal_gap,10,32,0.88920450210571289,0,0,False,,9e8f2b453cd224c73208fdcf4bf06086509f75301bfe2e7f38bd5107e0d78a5e,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.783676512977733,3.2031428956859269,7.4234482653555984,0.25991057156130348,ok,,233,233,0,0.88920450210571289,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-17T00:00:00,28.175228118896484,2019-08-17,2019-08-17,1,False,110,ok,,ok,,-9,9,False,True,True,-32.719671881103515,32.719671881103515,1.1455846819333302,1870.269949,1511.7546655535698,-358.5152834464302,358.5152834464302,-0.19169173072481965,ok,,0.80391193607928479,ok,,365,365,True
2019,linear_interpolation,ok,,Reconstruction_Analysis_Contract_v1.0.1,consecutive_2019_10d_20190419,consecutive_internal_gap,,32,0.95194400000000001,0,0,False,False,9e8f2b453cd224c73208fdcf4bf06086509f75301bfe2e7f38bd5107e0d78a5e,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.851098004975124,3.1957427228394053,7.4538733638283823,0.26097581839150974,ok,,233,233,0,0.95194400000000001,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-25T00:00:00,29.236799999999999,2019-08-25,2019-08-25,1,False,102,ok,,ok,,-1,1,True,True,True,-31.658100000000001,31.658100000000001,1.1084168127021696,1870.269949,1498.1992499999999,-372.0706990000001,372.0706990000001,-0.19893956976581892,ok,,0.81459759415564814,ok,,,,
2019,timesat_double_logistic,ok,,Reconstruction_Analysis_Contract_v1.0.1,consecutive_2019_10d_20190419,consecutive_internal_gap,,32,0.95194524526596069,0,0,False,,9e8f2b453cd224c73208fdcf4bf06086509f75301bfe2e7f38bd5107e0d78a5e,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-2.6362221216097401,4.1944684043495215,7.7199918934294383,0.27029318906067151,ok,,233,233,0,0.95222115516662598,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-21T12:00:00,21.558696746826172,2019-08-21,2019-08-22,2,False,105.5,ok,,ok,,-4.5,4.5,True,True,True,-39.336203253173828,39.336203253173828,1.3772433921709657,1870.269949,1325.8372067213058,-544.43274227869415,544.43274227869415,-0.29109848156935453,ok,,0.80039558592244153,ok,,365,365,True
2019,timesat_smoothing_spline,ok,,Reconstruction_Analysis_Contract_v1.0.1,consecutive_2019_10d_20190419,consecutive_internal_gap,10,32,0.88920450210571289,0,0,False,,9e8f2b453cd224c73208fdcf4bf06086509f75301bfe2e7f38bd5107e0d78a5e,True,201,201,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.783676512977733,3.2031428956859269,7.4234482653555984,0.25991057156130348,ok,,233,233,0,0.88920450210571289,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-17T00:00:00,28.175228118896484,2019-08-17,2019-08-17,1,False,110,ok,,ok,,-9,9,False,True,True,-32.719671881103515,32.719671881103515,1.1455846819333302,1870.269949,1511.7546655535698,-358.5152834464302,358.5152834464302,-0.19169173072481965,ok,,0.80391193607928479,ok,,365,365,True
2019,linear_interpolation,ok,,Reconstruction_Analysis_Contract_v1.0.1,consecutive_2019_10d_20190420,consecutive_internal_gap,,31,0.95194400000000001,0,0,False,False,4d548f20a25d9637bf6a104aee3e66dae30a494a8d1b37b675253d59758da260,True,202,202,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.7725453415841579,3.2418581538044458,7.4451964067048557,0.26067201983256866,ok,,233,233,0,0.95194400000000001,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-25T00:00:00,29.236799999999999,2019-08-25,2019-08-25,1,False,102,ok,,ok,,-1,1,True,True,True,-31.658100000000001,31.658100000000001,1.1084168127021696,1870.269949,1512.2157899999997,-358.05415900000025,358.05415900000025,-0.19144517570388458,ok,,0.81328794476038524,ok,,,,
2019,timesat_double_logistic,ok,,Reconstruction_Analysis_Contract_v1.0.1,consecutive_2019_10d_20190420,consecutive_internal_gap,,31,0.95194518566131592,0,0,False,,4d548f20a25d9637bf6a104aee3e66dae30a494a8d1b37b675253d59758da260,True,202,202,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-2.632812857240356,4.183342735512988,7.7020799062917567,0.26966605263453375,ok,,233,233,0,0.95222115516662598,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-21T12:00:00,21.558685302734375,2019-08-21,2019-08-22,2,False,105.5,ok,,ok,,-4.5,4.5,True,True,True,-39.336214697265625,39.336214697265625,1.3772437928527423,1870.269949,1325.8365225791931,-544.43342642080688,544.43342642080688,-0.29109884736794583,ok,,0.80039558521523813,ok,,365,365,True
2019,timesat_smoothing_spline,ok,,Reconstruction_Analysis_Contract_v1.0.1,consecutive_2019_10d_20190420,consecutive_internal_gap,10,31,0.88920450210571289,0,0,False,,4d548f20a25d9637bf6a104aee3e66dae30a494a8d1b37b675253d59758da260,True,202,202,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.6767178362804829,3.2744451068751643,7.4198947331754876,0.25978615490923301,ok,,233,233,0,0.88920450210571289,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-17T00:00:00,28.175228118896484,2019-08-17,2019-08-17,1,False,110,ok,,ok,,-9,9,False,True,True,-32.719671881103515,32.719671881103515,1.1455846819333302,1870.269949,1531.5685878396034,-338.70136116039657,338.70136116039657,-0.18109757970580351,ok,,0.80183496009419231,ok,,365,365,True
2019,linear_interpolation,ok,,Reconstruction_Analysis_Contract_v1.0.1,consecutive_2019_10d_20190421,consecutive_internal_gap,,31,0.95194400000000001,0,0,False,False,4d548f20a25d9637bf6a104aee3e66dae30a494a8d1b37b675253d59758da260,True,202,202,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.7725453415841579,3.2418581538044458,7.4451964067048557,0.26067201983256866,ok,,233,233,0,0.95194400000000001,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-25T00:00:00,29.236799999999999,2019-08-25,2019-08-25,1,False,102,ok,,ok,,-1,1,True,True,True,-31.658100000000001,31.658100000000001,1.1084168127021696,1870.269949,1512.2157899999997,-358.05415900000025,358.05415900000025,-0.19144517570388458,ok,,0.81328794476038524,ok,,,,
