analysis_classification,protocol_version,repository_code_commit,preperformance_manifest_payload_sha256,outer_test_year,candidate_p_seapar,candidate_status,candidate_failure_reason,n_required_training_years,n_valid_training_years,failure_count,training_year_nrmse_json,mean_equal_year_nrmse,equal_year_weighting,selected_for_outer_fold
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2024,0,eligible,,6,6,0,"{""2019"":0.2586856359716183,""2020"":0.23284985126467267,""2021"":0.18841911565619926,""2022"":0.3153344294350261,""2023"":0.17797730506965587,""2025"":0.2773445037139479}",0.24176847351851999,True,True
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2024,0.10000000000000001,eligible,,6,6,0,"{""2019"":0.2583892957640894,""2020"":0.25288872459567635,""2021"":0.19715597004879742,""2022"":0.3207087156043658,""2023"":0.17793571544588266,""2025"":0.27726922650111707}",0.24739127465998809,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2024,0.20000000000000001,eligible,,6,6,0,"{""2019"":0.2589798846734948,""2020"":0.25315375083690744,""2021"":0.2081974176413642,""2022"":0.3200299272831505,""2023"":0.17803468625563132,""2025"":0.27728971320543966}",0.24928089664933131,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2024,0.29999999999999988,eligible,,6,6,0,"{""2019"":0.2601592236159123,""2020"":0.25333179400660244,""2021"":0.20887804072427635,""2022"":0.32249884217131125,""2023"":0.17804577021806392,""2025"":0.2773020528986095}",0.25003595393912931,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2024,0.40000000000000002,eligible,,6,6,0,"{""2019"":0.26182586232098315,""2020"":0.25357285716341177,""2021"":0.2096373843305284,""2022"":0.32474776587105403,""2023"":0.17805147963275997,""2025"":0.27730268608164005}",0.25085633923339618,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2024,0.5,eligible,,6,6,0,"{""2019"":0.263583736252527,""2020"":0.2538925433810713,""2021"":0.2098133185999861,""2022"":0.32685896411481963,""2023"":0.17811071269795206,""2025"":0.2773134546442642}",0.2515954549484366,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2024,0.59999999999999987,eligible,,6,6,0,"{""2019"":0.26484017599681126,""2020"":0.2540801889578964,""2021"":0.21012614099572968,""2022"":0.3291319845202041,""2023"":0.17812277233456697,""2025"":0.27724177063475713}",0.25225717223999422,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2024,0.69999999999999984,eligible,,6,6,0,"{""2019"":0.26556245342806273,""2020"":0.2542177536711449,""2021"":0.21004442631733186,""2022"":0.33156119402389966,""2023"":0.17811262153521984,""2025"":0.2772248090708092}",0.25278720967441132,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2024,0.80000000000000004,eligible,,6,6,0,"{""2019"":0.26617247719731163,""2020"":0.25436813923214074,""2021"":0.21011254472399285,""2022"":0.3327871098529124,""2023"":0.17826029054994655,""2025"":0.2772175761161581}",0.25315302294541042,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2024,0.90000000000000002,eligible,,6,6,0,"{""2019"":0.2706780733022492,""2020"":0.25447922474246526,""2021"":0.2102704041147929,""2022"":0.33383368771700267,""2023"":0.17826445640481972,""2025"":0.27725643800718125}",0.2541303807147518,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2024,1,eligible,,6,6,0,"{""2019"":0.2721996874976255,""2020"":0.2544808156460599,""2021"":0.21032940574689096,""2022"":0.3349491330368696,""2023"":0.17826547736930362,""2025"":0.27731404480319327}",0.25458976068332367,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2025,0,eligible,,6,6,0,"{""2019"":0.2586856359716183,""2020"":0.23284985126467267,""2021"":0.18841911565619926,""2022"":0.3153344294350261,""2023"":0.17797730506965587,""2024"":0.22163814739531318}",0.23248408079874749,True,True
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2025,0.10000000000000001,eligible,,6,6,0,"{""2019"":0.2583892957640894,""2020"":0.25288872459567635,""2021"":0.19715597004879742,""2022"":0.3207087156043658,""2023"":0.17793571544588266,""2024"":0.22067613180893592}",0.23795909221129119,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2025,0.20000000000000001,eligible,,6,6,0,"{""2019"":0.2589798846734948,""2020"":0.25315375083690744,""2021"":0.2081974176413642,""2022"":0.3200299272831505,""2023"":0.17803468625563132,""2024"":0.22085867682632085}",0.23987572391947809,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2025,0.29999999999999988,eligible,,6,6,0,"{""2019"":0.2601592236159123,""2020"":0.25333179400660244,""2021"":0.20887804072427635,""2022"":0.32249884217131125,""2023"":0.17804577021806392,""2024"":0.22070698079781056}",0.24060344192232941,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2025,0.40000000000000002,eligible,,6,6,0,"{""2019"":0.26182586232098315,""2020"":0.25357285716341177,""2021"":0.2096373843305284,""2022"":0.32474776587105403,""2023"":0.17805147963275997,""2024"":0.22103480480460602}",0.2414783590205572,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2025,0.5,eligible,,6,6,0,"{""2019"":0.263583736252527,""2020"":0.2538925433810713,""2021"":0.2098133185999861,""2022"":0.32685896411481963,""2023"":0.17811071269795206,""2024"":0.22106781431513664}",0.24222118156024869,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2025,0.59999999999999987,eligible,,6,6,0,"{""2019"":0.26484017599681126,""2020"":0.2540801889578964,""2021"":0.21012614099572968,""2022"":0.3291319845202041,""2023"":0.17812277233456697,""2024"":0.2221888998635536}",0.24308169377812691,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2025,0.69999999999999984,eligible,,6,6,0,"{""2019"":0.26556245342806273,""2020"":0.2542177536711449,""2021"":0.21004442631733186,""2022"":0.33156119402389966,""2023"":0.17811262153521984,""2024"":0.22297868279391306}",0.243746188628262,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2025,0.80000000000000004,eligible,,6,6,0,"{""2019"":0.26617247719731163,""2020"":0.25436813923214074,""2021"":0.21011254472399285,""2022"":0.3327871098529124,""2023"":0.17826029054994655,""2024"":0.22506298220634793}",0.2444605906271087,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2025,0.90000000000000002,eligible,,6,6,0,"{""2019"":0.2706780733022492,""2020"":0.25447922474246526,""2021"":0.2102704041147929,""2022"":0.33383368771700267,""2023"":0.17826445640481972,""2024"":0.225188845977361}",0.2454524487097817,True,False
secondary_sensitivity_double_logistic_seasonal_parameter,Double_Logistic_Seasonal_Parameter_Sensitivity_Protocol_v1.0,f8f29b8398d1a92c93661361f9101112f89dc232,6a69c19f814f46837dfb085af1333a7d7572f4868269a59527ea65bd9ab772ea,2025,1,eligible,,6,6,0,"{""2019"":0.2721996874976255,""2020"":0.2544808156460599,""2021"":0.21032940574689096,""2022"":0.3349491330368696,""2023"":0.17826547736930362,""2024"":0.22565566152743083}",0.2459800301373633,True,False
